
DOY, 2018:48N125W:upwell (m3/s/100m), 2017:48N125W:upwell (m3/s/100m), 2016:48N125W:upwell (m3/s/100m), 2015:48N125W:upwell (m3/s/100m), 2014:48N125W:upwell (m3/s/100m), 2013:48N125W:upwell (m3/s/100m), 2012:48N125W:upwell (m3/s/100m), 2011:48N125W:upwell (m3/s/100m), 2010:48N125W:upwell (m3/s/100m)
196, 45.000, 22.000, 51.000, 37.000, 62.000, 48.000, 69.000, -16.000, 58.000
197, 45.000, 22.000, 43.000, 48.000, 75.000, 11.000, 54.000, -1.000, 41.000
198, 55.000, 25.000, 21.000, 55.000, 84.000, 5.000, 25.000, 5.000, 40.000
199, 54.000, 16.000, 10.000, 33.000, 35.000, 37.000, 39.000, 24.000, 40.000
200, 58.000, 6.000, 0.000, 28.000, 34.000, 65.000, 23.000, 21.000, 32.000
201, 49.000, 3.000, -6.000, 46.000, 28.000, 53.000, 19.000, 2.000, 32.000
202, 30.000, -24.000, 2.000, 37.000, 2.000, 51.000, -14.000, 22.000, 48.000
203, 32.000, 15.000, 27.000, 12.000, -7.000, 37.000, -8.000, 5.000, 54.000
204, 36.000, 69.000, 29.000, 7.000, 0.000, 59.000, 26.000, 5.000, 28.000
205, 34.000, 50.000, 9.000, 0.000, 15.000, 54.000, 27.000, 24.000, 73.000
206, 45.000, 43.000, 28.000, 3.000, 3.000, 63.000, 40.000, 28.000, 53.000
207, 41.000, 41.000, 59.000, 19.000, 6.000, 96.000, 32.000, 26.000, 34.000
208, 30.000, 28.000, 54.000, 16.000, 24.000, 61.000, 24.000, 28.000, 29.000
209, 17.000, 20.000, 57.000, 14.000, 24.000, 28.000, 15.000, 24.000, 30.000
210, 18.000, 9.000, 76.000, 31.000, 35.000, 17.000, 8.000, 23.000, 34.000
211, 20.000, 23.000, 118.000, 46.000, 46.000, 15.000, 6.000, 7.000, 48.000
212, 24.000, 51.000, 123.000, 52.000, 53.000, 20.000, 12.000, 24.000, 20.000
213, 24.000, 53.000, 32.000, 65.000, 40.000, 20.000, 30.000, 18.000, 13.000
214, 27.000, 43.000, 30.000, 48.000, 36.000, 10.000, 21.000, -2.000, 29.000
215, 12.000, 41.000, 36.000, 54.000, 36.000, 22.000, 32.000, 13.000, 18.000
